Date/Time,Environment:Site Wind Speed [m/s](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 07/21  21:00:00,2.4,0.0,0.0,502687152.1923927,152517470.7542746,224813060.55296705 
 07/21  22:00:00,2.4,0.0,0.0,487039028.0305234,152517470.7542746,224813060.55296705 
 07/21  23:00:00,2.4,0.0,4100434.77678473,118129760.32994443,152517470.7542746,224813060.55296705 
 07/21  24:00:00,2.4,0.0,2979334.4281862357,176036191.2765974,152517470.7542746,224813060.55296705 
 07/21  01:00:00,2.4,0.0,2912269.6080562558,181721250.01142229,152517470.7542746,224813060.55296705 
 07/21  02:00:00,2.4,0.0,1757243.807345746,226618470.00451858,152517470.7542746,224813060.55296705 
 07/21  03:00:00,2.4,0.0,1500167.847512376,177012143.7739953,152517470.7542746,224813060.55296705 
 07/21  04:00:00,2.4,0.0,2719400.1112740074,216322833.53658507,152517470.7542746,224813060.55296705 
 07/21  05:00:00,2.4,0.0,1611774.8681095236,232707794.5418511,152517470.7542746,224813060.55296705 
 07/21  06:00:00,2.4,0.0145891147909559,1747891.7895750844,210058382.58698539,152517470.7542746,224813060.55296705 
 07/21  07:00:00,2.4,56.34860986772071,582723.2718480271,380839152.7979544,131886500.00307139,224813060.55296705 
 07/21  08:00:00,2.4,231.85959147294114,0.0,380729889.12337496,119991185.40467142,224813060.55296705 
 07/21  09:00:00,2.4,375.607302565397,225728.57410326543,481046108.4792463,119991185.40467142,224813060.55296705 
 07/21  10:00:00,2.4,470.73042604296429,0.0,596377037.3000045,119991185.40467142,224813060.55296705 
 07/21  11:00:00,2.4,529.8608859013466,0.0,646948683.888722,119991185.40467142,224813060.55296705 
 07/21  12:00:00,2.4,561.7438609980454,0.0,669053551.4956699,119991185.40467142,224813060.55296705 
 07/21  13:00:00,2.4,570.8458267551066,0.0,668499335.4071443,119991185.40467142,224813060.55296705 
 07/21  14:00:00,2.4,558.4131747035665,0.0,675959852.475618,119991185.40467142,224813060.55296705 
 07/21  15:00:00,2.4,522.7428547735229,0.0,684261099.604861,119991185.40467142,224813060.55296705 
 07/21  16:00:00,2.4,458.79708920135365,0.0,684594967.159942,119991185.40467142,224813060.55296705 
 07/21  17:00:00,2.4,357.08032063725866,0.0,665885134.3525325,119991185.40467142,224813060.55296705 
 07/21  18:00:00,2.4,205.1994120596819,0.0,621228627.5875678,120131322.63904399,224813060.55296705 
 07/21  19:00:00,2.4,36.8684596217668,0.0,559333335.6333912,136249710.75501783,224813060.55296705 
 07/21  20:00:00,2.4,0.0,0.0,522281468.147871,152517470.7542746,224813060.55296705 
 07/21  21:00:00,2.4,0.0,0.0,500908203.19746336,152517470.7542746,224813060.55296705 
 07/21  22:00:00,2.4,0.0,0.0,485162250.5336879,152517470.7542746,224813060.55296705 
 07/21  23:00:00,2.4,0.0,4648596.271604867,136012785.18490625,152517470.7542746,224813060.55296705 
 07/21  24:00:00,2.4,0.0,2631753.4677696495,164545436.4833734,152517470.7542746,224813060.55296705 
 07/21  01:00:00,2.4,0.0,2958136.2592412906,204513694.57451348,152517470.7542746,224813060.55296705 
 07/21  02:00:00,2.4,0.0,1420858.226789125,220624621.76749028,152517470.7542746,224813060.55296705 
 07/21  03:00:00,2.4,0.0,1386388.2385418367,151658641.73762799,152517470.7542746,224813060.55296705 
 07/21  04:00:00,2.4,0.0,2680338.0836345169,234511549.30904079,152517470.7542746,224813060.55296705 
 07/21  05:00:00,2.4,0.0,1322624.6552573436,226298771.32228906,152517470.7542746,224813060.55296705 
 07/21  06:00:00,2.4,0.0145891147909559,1328794.4110505977,155555856.73209686,152517470.7542746,224813060.55296705 
 07/21  07:00:00,2.4,56.34860986772071,1246830.225302062,416999931.917716,131886500.00307139,224813060.55296705 
 07/21  08:00:00,2.4,231.85959147294114,0.0,353197516.205234,119991185.40467142,224813060.55296705 
 07/21  09:00:00,2.4,375.607302565397,0.0,447285457.4262694,119991185.40467142,224813060.55296705 
 07/21  10:00:00,2.4,470.73042604296429,27825.795663026656,594167809.7855134,119991185.40467142,224813060.55296705 
 07/21  11:00:00,2.4,529.8608859013466,0.0,643159265.0483401,119991185.40467142,224813060.55296705 
 07/21  12:00:00,2.4,561.7438609980454,0.0,670663172.9930129,119991185.40467142,224813060.55296705 
 07/21  13:00:00,2.4,570.8458267551066,0.0,670296045.2308059,119991185.40467142,224813060.55296705 
